COLLISION_ID,crash_datetime,CRASH_YEAR,CRASH_MONTH,CRASH_HOUR,CRASH_WEEKDAY,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,CONTRIBUTING FACTOR VEHICLE 1,VEHICLE TYPE CODE 1,persons_count,persons_injured,persons_killed,PEDESTRIAN,BICYCLIST,MOTORIST,median_age
4570580,2022-10-05 06:30:00,2022,10,6,Wednesday,UNKNOWN,,40.62307,-74.149315,0.0,0.0,Backing Unsafely,Sedan,3.0,0.0,0.0,0.0,0.0,0.0,45.0
2937899,2013-05-13 08:50:00,2013,5,8,Monday,UNKNOWN,,,,0.0,0.0,Driver Inattention/Distraction,PASSENGER VEHICLE,,,,,,,
3373717,2016-01-19 07:10:00,2016,1,7,Tuesday,QUEENS,11373.0,40.7366431,-73.8658311,0.0,0.0,Driver Inexperience,SPORT UTILITY / STATION WAGON,,,,,,,
3766210,2017-10-09 09:40:00,2017,10,9,Monday,QUEENS,11412.0,40.695255,-73.75554,0.0,0.0,Driver Inattention/Distraction,Sedan,3.0,0.0,0.0,0.0,0.0,0.0,59.0
4429058,2021-06-15 16:39:00,2021,6,16,Tuesday,UNKNOWN,,40.611313,-74.09844,1.0,0.0,Unspecified,Sedan,4.0,1.0,0.0,0.0,0.0,0.0,61.5
4223525,2019-10-15 09:00:00,2019,10,9,Tuesday,MANHATTAN,10281.0,40.711567,-74.01579,0.0,0.0,Passing Too Closely,Sedan,3.0,0.0,0.0,0.0,0.0,0.0,36.0
3516600,2016-09-09 09:50:00,2016,9,9,Friday,BROOKLYN,11228.0,40.618023,-74.00981,1.0,0.0,Other Vehicular,Station Wagon/Sport Utility Vehicle,3.0,1.0,0.0,0.0,0.0,0.0,71.0
298431,2013-06-09 18:30:00,2013,6,18,Sunday,STATEN ISLAND,10304.0,40.600905,-74.0894765,0.0,0.0,Physical Disability,PASSENGER VEHICLE,,,,,,,
3465836,2016-06-21 09:00:00,2016,6,9,Tuesday,UNKNOWN,,,,0.0,0.0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,4.0,0.0,0.0,0.0,0.0,0.0,37.0
314580,2014-04-02 15:00:00,2014,4,15,Wednesday,BRONX,10465.0,40.8251456,-73.8238655,1.0,0.0,Unspecified,PASSENGER VEHICLE,1.0,1.0,0.0,0.0,0.0,0.0,52.0
3976332,2018-09-07 14:57:00,2018,9,14,Friday,BROOKLYN,11235.0,40.58531,-73.95353,0.0,0.0,Unspecified,Station Wagon/Sport Utility Vehicle,5.0,0.0,0.0,0.0,0.0,0.0,76.0
339769,2014-05-23 16:00:00,2014,5,16,Friday,MANHATTAN,10036.0,40.7608228,-73.9983142,0.0,0.0,Unspecified,LARGE COM VEH(6 OR MORE TIRES),,,,,,,
4750517,2024-08-24 11:41:00,2024,8,11,Saturday,QUEENS,11372.0,40.756943,-73.87222,0.0,0.0,Turning Improperly,Station Wagon/Sport Utility Vehicle,1.0,0.0,0.0,0.0,0.0,0.0,35.0
3675484,2017-05-20 13:30:00,2017,5,13,Saturday,BROOKLYN,11204.0,40.62332,-73.97879,1.0,0.0,Unspecified,Station Wagon/Sport Utility Vehicle,5.0,1.0,0.0,0.0,0.0,0.0,30.0
4367368,2020-11-13 20:30:00,2020,11,20,Friday,QUEENS,11429.0,40.714787,-73.74164,0.0,0.0,View Obstructed/Limited,Station Wagon/Sport Utility Vehicle,3.0,0.0,0.0,0.0,0.0,0.0,36.0
4351366,2020-09-24 20:20:00,2020,9,20,Thursday,UNKNOWN,,40.66535,-73.81695,4.0,0.0,Driver Inattention/Distraction,Sedan,7.0,4.0,0.0,0.0,0.0,0.0,22.0
4588470,2022-10-17 16:15:00,2022,10,16,Monday,QUEENS,11433.0,40.69162,-73.78334,0.0,0.0,Unspecified,Station Wagon/Sport Utility Vehicle,3.0,0.0,0.0,0.0,0.0,0.0,28.0
4027801,2018-11-17 09:30:00,2018,11,9,Saturday,UNKNOWN,,40.828297,-73.95087,0.0,0.0,Fatigued/Drowsy,Station Wagon/Sport Utility Vehicle,4.0,0.0,0.0,0.0,0.0,0.0,36.5
3675067,2017-05-19 16:00:00,2017,5,16,Friday,STATEN ISLAND,10309.0,,,0.0,0.0,Turning Improperly,Sedan,5.0,0.0,0.0,0.0,0.0,0.0,38.0
4386828,2021-01-25 18:30:00,2021,1,18,Monday,BROOKLYN,11219.0,40.634075,-73.99508,0.0,0.0,Unspecified,Station Wagon/Sport Utility Vehicle,1.0,0.0,0.0,0.0,0.0,0.0,62.0
